timestamp,product,instrument,price,bid,ask,volume
2026-05-20 13:30:00+00:00,M27,M27,9960.0,9960.0,9960.0,536.0
2026-05-20 13:30:00+00:00,H27,H27,9969.5,9969.5,9969.5,1421.0
2026-05-20 13:30:00+00:00,M26,M26,10005.0,10005.0,10005.0,2537.0
2026-05-20 14:30:00+00:00,M27,M27,9959.5,9959.5,9959.5,313.0
2026-05-20 14:30:00+00:00,H27,H27,9969.5,9969.5,9969.5,836.0
2026-05-20 14:30:00+00:00,M26,M26,10005.0,10005.0,10005.0,2000.0
2026-05-20 15:30:00+00:00,M27,M27,9962.0,9962.0,9962.0,661.0
2026-05-20 15:30:00+00:00,H27,H27,9971.5,9971.5,9971.5,1262.0
2026-05-20 15:30:00+00:00,M26,M26,10005.0,10005.0,10005.0,349.0
2026-05-20 16:30:00+00:00,H27,H27,9973.5,9973.5,9973.5,1929.0
2026-05-20 16:30:00+00:00,M26,M26,10005.0,10005.0,10005.0,629.0
2026-05-20 16:30:00+00:00,M27,M27,9964.5,9964.5,9964.5,1312.0
2026-05-20 17:30:00+00:00,M27,M27,9963.5,9963.5,9963.5,1081.0
2026-05-20 17:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,88.0
2026-05-20 17:30:00+00:00,H27,H27,9972.5,9972.5,9972.5,655.0
2026-05-20 18:30:00+00:00,M27,M27,9964.0,9964.0,9964.0,109.0
2026-05-20 18:30:00+00:00,H27,H27,9972.5,9972.5,9972.5,87.0
2026-05-21 08:30:00+00:00,M27,M27,9964.0,9964.0,9964.0,229.0
2026-05-21 08:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,11.0
2026-05-21 08:30:00+00:00,H27,H27,9972.5,9972.5,9972.5,449.0
2026-05-21 09:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,639.0
2026-05-21 09:30:00+00:00,H27,H27,9973.5,9973.5,9973.5,353.0
2026-05-21 09:30:00+00:00,M27,M27,9964.0,9964.0,9964.0,203.0
2026-05-21 10:30:00+00:00,H27,H27,9974.5,9974.5,9974.5,267.0
2026-05-21 10:30:00+00:00,M27,M27,9965.5,9965.5,9965.5,81.0
2026-05-21 10:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,109.0
2026-05-21 11:30:00+00:00,H27,H27,9973.0,9973.0,9973.0,212.0
2026-05-21 11:30:00+00:00,M27,M27,9964.5,9964.5,9964.5,161.0
2026-05-21 11:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,101.0
2026-05-21 12:30:00+00:00,M27,M27,9964.0,9964.0,9964.0,534.0
2026-05-21 12:30:00+00:00,H27,H27,9972.5,9972.5,9972.5,1348.0
2026-05-21 12:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,667.0
2026-05-21 13:30:00+00:00,M27,M27,9962.5,9962.5,9962.5,187.0
2026-05-21 13:30:00+00:00,H27,H27,9972.0,9972.0,9972.0,862.0
2026-05-21 13:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,96.0
2026-05-21 14:30:00+00:00,H27,H27,9971.5,9971.5,9971.5,488.0
2026-05-21 14:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,172.0
2026-05-21 14:30:00+00:00,M27,M27,9963.0,9963.0,9963.0,475.0
2026-05-21 15:30:00+00:00,H27,H27,9971.0,9971.0,9971.0,493.0
2026-05-21 15:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,101.0
2026-05-21 15:30:00+00:00,M27,M27,9961.5,9961.5,9961.5,1149.0
2026-05-21 16:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,139.0
2026-05-21 16:30:00+00:00,H27,H27,9970.0,9970.0,9970.0,636.0
2026-05-21 16:30:00+00:00,H26,H26,10004.75,10004.75,10004.75,372.0
2026-05-21 16:30:00+00:00,M27,M27,9960.5,9960.5,9960.5,614.0
2026-05-21 17:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,1029.0
2026-05-21 17:30:00+00:00,H27,H27,9970.0,9970.0,9970.0,667.0
2026-05-21 17:30:00+00:00,H26,H26,10004.5,10004.5,10004.5,3000.0
2026-05-21 17:30:00+00:00,M27,M27,9960.5,9960.5,9960.5,411.0
2026-05-21 18:30:00+00:00,M27,M27,9961.0,9961.0,9961.0,22.0
2026-05-21 18:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,315.0
2026-05-21 18:30:00+00:00,H27,H27,9970.5,9970.5,9970.5,24.0
2026-05-22 08:30:00+00:00,H26,H26,10004.75,10004.75,10004.75,800.0
2026-05-22 08:30:00+00:00,M27,M27,9962.0,9962.0,9962.0,635.0
2026-05-22 08:30:00+00:00,H27,H27,9971.5,9971.5,9971.5,310.0
2026-05-22 08:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,875.0
2026-05-22 09:30:00+00:00,H27,H27,9972.0,9972.0,9972.0,467.0
2026-05-22 09:30:00+00:00,H26,H26,10004.75,10004.75,10004.75,100.0
2026-05-22 09:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,134.0
2026-05-22 09:30:00+00:00,M27,M27,9962.5,9962.5,9962.5,419.0
2026-05-22 10:30:00+00:00,H27,H27,9971.5,9971.5,9971.5,127.0
2026-05-22 10:30:00+00:00,M27,M27,9962.5,9962.5,9962.5,79.0
2026-05-22 10:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,1714.0
2026-05-22 11:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,29.0
2026-05-22 11:30:00+00:00,H27,H27,9971.5,9971.5,9971.5,38.0
2026-05-22 11:30:00+00:00,M27,M27,9963.0,9963.0,9963.0,257.0
2026-05-22 12:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,91.0
2026-05-22 12:30:00+00:00,M27,M27,9963.0,9963.0,9963.0,414.0
2026-05-22 12:30:00+00:00,H27,H27,9972.0,9972.0,9972.0,903.0
2026-05-22 13:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,215.0
2026-05-22 13:30:00+00:00,M27,M27,9965.0,9965.0,9965.0,312.0
2026-05-22 13:30:00+00:00,H27,H27,9974.5,9974.5,9974.5,1139.0
2026-05-22 14:30:00+00:00,M27,M27,9965.5,9965.5,9965.5,908.0
2026-05-22 14:30:00+00:00,H27,H27,9974.0,9974.0,9974.0,1118.0
2026-05-22 14:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,35.0
2026-05-22 15:30:00+00:00,M27,M27,9965.0,9965.0,9965.0,173.0
2026-05-22 15:30:00+00:00,H27,H27,9973.5,9973.5,9973.5,339.0
2026-05-22 15:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,36.0
2026-05-22 16:30:00+00:00,H27,H27,9973.0,9973.0,9973.0,330.0
2026-05-22 16:30:00+00:00,M27,M27,9964.5,9964.5,9964.5,45.0
2026-05-22 16:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,175.0
2026-05-22 16:30:00+00:00,H26,H26,10004.5,10004.5,10004.5,2.0
2026-05-22 17:30:00+00:00,M27,M27,9963.5,9963.5,9963.5,76.0
2026-05-22 17:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,322.0
2026-05-22 17:30:00+00:00,H27,H27,9972.0,9972.0,9972.0,181.0
2026-05-22 18:30:00+00:00,H27,H27,9972.5,9972.5,9972.5,54.0
2026-05-22 18:30:00+00:00,M27,M27,9964.0,9964.0,9964.0,48.0
2026-05-22 18:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,272.0
2026-05-26 08:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,486.0
2026-05-26 08:30:00+00:00,H26,H26,10004.75,10004.75,10004.75,27.0
2026-05-26 08:30:00+00:00,H27,H27,9978.0,9978.0,9978.0,267.0
2026-05-26 08:30:00+00:00,M27,M27,9969.5,9969.5,9969.5,379.0
2026-05-26 09:30:00+00:00,M27,M27,9971.0,9971.0,9971.0,515.0
2026-05-26 09:30:00+00:00,H27,H27,9979.0,9979.0,9979.0,253.0
2026-05-26 09:30:00+00:00,M26,M26,10005.0,10005.0,10005.0,265.0
2026-05-26 10:30:00+00:00,M26,M26,10004.5,10004.5,10004.5,53.0
