timestamp,instrument,price,bid,ask,volume
2026-05-26 08:30:00+00:00,H26,10004.75,10004.75,10004.75,27.0
2026-05-26 08:30:00+00:00,M26,10004.5,10004.5,10004.5,486.0
2026-05-26 09:30:00+00:00,M26,10005.0,10005.0,10005.0,265.0
2026-05-26 10:30:00+00:00,M26,10004.5,10004.5,10004.5,53.0
2026-05-26 11:30:00+00:00,M26,10004.5,10004.5,10004.5,1.0
2026-05-26 13:30:00+00:00,M26,10004.5,10004.5,10004.5,532.0
2026-05-26 14:30:00+00:00,M26,10005.0,10005.0,10005.0,30.0
2026-05-26 15:30:00+00:00,M26,10004.5,10004.5,10004.5,34.0
2026-05-26 16:30:00+00:00,M26,10005.0,10005.0,10005.0,146.0
2026-05-26 17:30:00+00:00,M26,10004.5,10004.5,10004.5,471.0
2026-05-26 18:30:00+00:00,M26,10004.5,10004.5,10004.5,14.0
2026-05-27 08:30:00+00:00,M26,10004.5,10004.5,10004.5,1126.0
2026-05-27 09:30:00+00:00,M26,10004.5,10004.5,10004.5,28.0
2026-05-27 10:30:00+00:00,M26,10004.5,10004.5,10004.5,8.0
2026-05-27 11:30:00+00:00,M26,10004.5,10004.5,10004.5,372.0
